X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,y
0.27729649,0.561439923,0.792478025,0.390804032,0.963735991,0.271909476,0.248836197,0.396570739,0.698047943,0.638585386,0.250388155,0.376359758,0.882635146,0.221227548,0.713231098,0.566196692,0.958327304,0.849276032,0.862170673,0.032193295,0.163776744,0.384554618,0.830243731,0.322324553,0.885739111,0.861640383,0.921347917,0.715569651,0.685647184,0.813788544,0.954954593,0.589736452,0.736669992,0.782186987,0.050564101,0.246840009,0.91334231,0.270216378,0.837268315,0.943223864,0.329055407,0.805252504,0.748613645,0.124060629,0.758153622,0.203947373,0.918163945,0.625608276,0.716640296,0.9917725,0.442187818,0.236500338,0.758903241,0.324512561,0.818429818,0.580776736,0.340211086,0.411636604,0.285873312,0.603916503,0.952922448,0.032837169,0.404102103,0.611578966,0.182095673,0.467703313,0.364003137,0.325692217,0.238116304,0.154993523,0.918926862,0.334864539,0.228779954,0.662622659,0.00658075,0.344944478,0.612361138,0.456259046,0.234639005,0.126169439,0.389987254,0.985090008,0.560674221,0.415935415,0.068269245,0.930160519,0.938389967,0.79595561,0.211599092,0.153507977,0.647367574,0.836051135,0.530609347,0.385932722,0.69148544,0.594989158,0.030057765,0.066604216,0.138407944,0.733738012,15.8180868
0.266381888,0.060908953,0.950351824,0.599643322,0.766803218,0.984510691,0.723277074,0.563647263,0.384457911,0.966733594,0.339309904,0.557913163,0.557678475,0.835860192,0.001890409,0.488497506,0.109944164,0.38087877,0.315969858,0.120220126,0.645993973,0.384028969,0.145265536,0.031399162,0.972596449,0.655700575,0.701290745,0.963181233,0.242716799,0.045756101,0.47144822,0.365701061,0.471152863,0.467161689,0.754272324,0.824372233,0.878926677,0.339728031,0.39886074,0.153109529,0.32805598,0.240820546,0.506066173,0.067766199,0.57363651,0.500267488,0.377033983,0.906125746,0.501943123,0.844238212,0.731279258,0.645402927,0.537215299,0.338431545,0.145810475,0.817049676,0.995692154,0.636422334,0.802051621,0.497415494,0.765712013,0.049236655,0.82009037,0.648688444,0.638806944,0.618404648,0.31240427,0.086880822,0.588355767,0.572160793,0.052302997,0.818352238,0.034408781,0.463954855,0.124673954,0.882860184,0.719316035,0.95235867,0.057893074,0.020797394,0.636958356,0.423409512,0.573873327,0.910938613,0.484415239,0.495144733,0.731539166,0.653375112,0.925329514,0.00443579,0.759316787,0.47551966,0.273858992,0.512132444,0.282516043,0.350107654,0.514615001,0.868674849,0.122554174,0.917608676,15.3305988
0.854543169,0.832078734,0.982695175,0.040323464,0.881111212,0.428200915,0.304056556,0.7835114,0.038323547,0.99704423,0.453347408,0.76793318,0.20629705,0.174993363,0.144787445,0.208303101,0.426945376,0.929847935,0.275955613,0.423552648,0.40099277,0.149913059,0.143741419,0.204920108,0.04697565,0.744018787,0.936276602,0.65150981,0.878359217,0.099599226,0.103447177,0.932404006,0.774088311,0.472599566,0.831565369,0.218004982,0.572762792,0.540849889,0.099359414,0.368271347,0.290467627,0.355844249,0.476213694,0.177499068,0.448426697,0.522603131,0.690108013,0.722393737,0.491918623,0.553546242,0.755884995,0.119122797,0.288618662,0.124535473,0.567043298,0.303095235,0.847513799,0.140535179,0.071382673,0.837321325,0.140604896,0.395546042,0.553023427,0.700790141,0.881472849,0.269369268,0.34709869,0.085565063,0.277830692,0.40993078,0.36190382,0.215381189,0.066475246,0.883939137,0.729128776,0.331542039,0.348865644,0.564597042,0.370764931,0.578746649,0.9750091,0.970445803,0.598524313,0.65098662,0.137507213,0.907254385,0.965680992,0.903897003,0.043513318,0.544751055,0.763895128,0.31119782,0.712822503,0.266404947,0.597852661,0.996053431,0.231292799,0.341729471,0.248458457,0.41199506,16.14256744
0.601828723,0.789990771,0.541248369,0.563291663,0.834743072,0.231724389,0.056693802,0.301932342,0.547883184,0.546352597,0.33677647,0.417488845,0.121223952,0.405791082,0.709862294,0.719701508,0.835986848,0.316661919,0.02738959,0.860593658,0.950654428,0.121203572,0.240988226,0.685239541,0.503721855,0.8915964,0.820443692,0.857300231,0.400359397,0.045559913,0.129266907,0.095958781,0.014126229,0.814580639,0.679980972,0.069878601,0.781339848,0.137632069,0.596517643,0.317743483,0.03555484,0.751226659,0.835784482,0.63245682,0.380041746,0.705190431,0.549509427,0.683274378,0.808407797,0.669281365,0.28074002,0.160949555,0.96499446,0.675213899,0.291380129,0.614763524,0.695922182,0.616214988,0.549255449,0.805157555,0.827901531,0.769561566,0.3333081,0.251039984,0.750799992,0.247939351,0.104339848,0.508430753,0.041060818,0.620749505,0.136001938,0.79612635,0.386428864,0.095949274,0.42867089,0.341275025,0.58192639,0.607572901,0.636346298,0.103983941,0.680655025,0.897337949,0.506376214,0.272723377,0.902486322,0.639894409,0.673511914,0.57982341,0.992824826,0.521553794,0.229927735,0.11922657,0.211874233,0.239856396,0.652280113,0.590346311,0.876691619,0.815428738,0.337842432,0.039475457,19.62797022
0.19254481,0.731265219,0.647863655,0.305256746,0.962842702,0.621413603,0.423836265,0.450321421,0.503724156,0.306866117,0.214467825,0.496493995,0.912472236,0.175865074,0.471295384,0.726072066,0.855621003,0.428308319,0.895404663,0.910721495,0.96251595,0.072280144,0.868305732,0.809390445,0.273301895,0.791361672,0.292948223,0.628508483,0.933037918,0.664677966,0.866565576,0.162987214,0.381835583,0.260294277,0.372558852,0.353247264,0.84276852,0.239083167,0.493987334,0.771616426,0.665792793,0.706944965,0.627694324,0.789219618,0.830519736,0.961025303,0.630631593,0.60866797,0.978431617,0.515469915,0.098513018,0.644739008,0.436440198,0.820749288,0.647151961,0.400437979,0.222934052,0.720542161,0.093385136,0.698672281,0.520899263,0.09399518,0.507279612,0.362767021,0.641326505,0.362774968,0.978898472,0.66971238,0.063393971,0.812461315,0.405860822,0.39005792,0.76515156,0.313995299,0.537576628,0.09672399,0.318609002,0.29682335,0.796661313,0.932411876,0.745937889,0.065694795,0.648847998,0.986539249,0.340583718,0.667963917,0.321868626,0.430122797,0.722172805,0.556496448,0.80047662,0.775496343,0.619680159,0.933081814,0.419882576,0.929867889,0.556322935,0.817419968,0.437833768,0.543330789,13.15118934
0.120548257,0.452342869,0.213099364,0.575219821,0.005869973,0.950564984,0.317733074,0.542820699,0.863201219,0.810873235,0.068832383,0.339986718,0.37401825,0.796510086,0.266838209,0.986048938,0.282536316,0.560411313,0.532041395,0.503672484,0.629116809,0.249834755,0.615702139,0.589010311,0.61201005,0.677771801,0.070465663,0.850288291,0.162576134,0.157989992,0.161242807,0.358552334,0.032557894,0.296261258,0.592225047,0.593679951,0.023103131,0.840415371,0.638303393,0.025179142,0.112450579,0.118387209,0.993272135,0.153914784,0.996149712,0.826917343,0.943690142,0.659980031,0.878880711,0.355313974,0.067960056,0.551432014,0.202056985,0.433775472,0.454123842,0.092957669,0.344419327,0.260614538,0.264496537,0.364962444,0.607715372,0.782729289,0.260140154,0.531311226,0.35379948,0.04757708,0.408847523,0.842597092,0.606852318,0.925975936,0.862161468,0.812409759,0.238970589,0.993318973,0.313741495,0.641031313,0.819325313,0.511088001,0.170324183,0.894303031,0.608512621,0.358694337,0.348607946,0.342006798,0.692071215,0.806102816,0.250493026,0.497715135,0.451101963,0.953393373,0.859243084,0.718502685,0.007479182,0.68017418,0.996213072,0.242004929,0.501441327,0.690383784,0.698885894,0.827692935,8.903513138
0.923932156,0.908552864,0.899367333,0.301712923,0.25434479,0.764685033,0.127184966,0.459921907,0.278425379,0.467061754,0.017573946,0.791239241,0.280667331,0.933457051,0.849658542,0.505530408,0.268004006,0.758575557,0.750886049,0.836278461,0.501374793,0.837122137,0.454766965,0.734677877,0.355657377,0.490703489,0.21666564,0.40046624,0.744944631,0.164681836,0.654213377,0.7402243,0.670633475,0.965095802,0.924984719,0.22849405,0.643410956,0.256075812,0.645352652,0.607332849,0.140129914,0.503342374,0.603441492,0.150975419,0.055186672,0.582125099,0.884727814,0.970895307,0.295504572,0.081803489,0.812789897,0.736860513,0.634313685,0.253026525,0.083300315,0.641878217,0.777061819,0.660558208,0.92872231,0.638308468,0.722530223,0.003842028,0.583845939,0.529177087,0.249124409,0.982484025,0.908851435,0.460325387,0.157648581,0.520780255,0.104415482,0.26868272,0.535525913,0.995265303,0.009159281,0.830507522,0.175153475,0.034409896,0.86807183,0.169149122,0.425843392,0.104268522,0.05470289,0.022002984,0.628093006,0.935601564,0.604489904,0.850134618,0.559298543,0.679503635,0.59006313,0.494319425,0.380774401,0.11848056,0.086968402,0.606193922,0.060132469,0.650234675,0.896973075,0.684703477,13.33448922
0.381445559,0.283045147,0.053417198,0.85858229,0.906915493,0.722841198,0.246800873,0.704154627,0.456075088,0.840821923,0.198411984,0.211921745,0.79173649,0.671494001,0.243764401,0.22575618,0.026422758,0.180703913,0.828652632,0.400320766,0.60762867,0.073380028,0.559603821,0.748643632,0.618398688,0.531683487,0.715130767,0.19934712,0.104698819,0.326001542,0.70626951,0.751593858,0.24683194,0.357619177,0.640792055,0.534239892,0.94520653,0.772506682,0.55635858,0.078160841,0.874522742,0.020044318,0.868153143,0.127051829,0.944083398,0.767612367,0.917637324,0.443701079,0.897658813,0.512360031,0.42931666,0.751185399,0.368083682,0.54175369,0.67997803,0.140856147,0.214741355,0.97240318,0.954385871,0.13780333,0.754725372,0.201584713,0.39381306,0.20333552,0.757830858,0.732035213,0.551577867,0.987275036,0.276593444,0.367693721,0.371125453,0.310790219,0.343157378,0.011061366,0.684293502,0.387493806,0.027978178,0.6732964,0.915981253,0.398446223,0.058698146,0.364145461,0.552265983,0.583368618,0.874202535,0.789194139,0.401620779,0.48127257,0.986878771,0.366643806,0.630263782,0.042346755,0.227804463,0.675983165,0.96748724,0.301707509,0.695900146,0.603893368,0.178372931,0.076811988,20.88893831
0.487354747,0.022446639,0.622672991,0.017986374,0.546346533,0.416282638,0.511631371,0.054166177,0.539634977,0.139406404,0.898220519,0.680305247,0.100116392,0.495968757,0.727743715,0.934302693,0.319961698,0.88215561,0.291000673,0.139802,0.017965434,0.404217743,0.759975957,0.383046959,0.603356161,0.323846576,0.04648707,0.401287838,0.970652415,0.158523104,0.663314706,0.171272424,0.657828172,0.972775702,0.544713356,0.867090386,0.811476991,0.048821287,0.873118675,0.466374873,0.339638644,0.954631176,0.476838151,0.605205517,0.334884161,0.790832141,0.554591626,0.870503584,0.038517199,0.964290126,0.583774839,0.132892207,0.169454664,0.713765335,0.534361684,0.026456617,0.494209078,0.108387409,0.003045779,0.121087081,0.982297095,0.000577421,0.492381637,0.076053424,0.888416525,0.286510635,0.148338037,0.39061091,0.260912477,0.743357495,0.765352273,0.36602672,0.228275943,0.658929468,0.278812818,0.96844617,0.161390717,0.4005168,0.90668836,0.328646065,0.071588031,0.280167025,0.949009988,0.06108012,0.123510239,0.381778043,0.505569584,0.412034564,0.826609012,0.60524147,0.380746361,0.418180292,0.852808126,0.926575756,0.44786644,0.568235272,0.457039326,0.004381171,0.569129573,0.171099958,4.266228659
0.426600984,0.748676803,0.997884514,0.316477946,0.028302138,0.595207181,0.260427376,0.258071051,0.595122532,0.577307372,0.429314984,0.815512842,0.437964897,0.142828515,0.093864507,0.23840107,0.563248998,0.337056517,0.15612201,0.004484562,0.651693416,0.335770196,0.048745401,0.300401347,0.596426052,0.476834211,0.450294997,0.41075438,0.03766295,0.264051003,0.447713486,0.802588392,0.824413311,0.536048963,0.67505164,0.114970689,0.663791367,0.447855993,0.923301846,0.270044496,0.883931203,0.330649138,0.528675561,0.162071908,0.60897457,0.220639707,0.086452326,0.45899561,0.525220803,0.874559139,0.473101232,0.066808768,0.766095111,0.592196678,0.505533302,0.932658922,0.918910535,0.908744182,0.992851958,0.669067212,0.980133824,0.835392406,0.367719113,0.779512779,0.847948109,0.149250931,0.266400704,0.214160385,0.284873667,0.353392917,0.01627235,0.644306132,0.847145133,0.694810427,0.856374096,0.004083629,0.986395744,0.676732008,0.652359082,0.017513964,0.81609035,0.176023617,0.494169454,0.231156833,0.499181617,0.387584854,0.630085824,0.118770194,0.454750074,0.50799003,0.7055011,0.637846575,0.649542638,0.101575698,0.828982017,0.408320281,0.568319679,0.285232,0.564902907,0.383545735,17.76903663
